the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000003E279C6113CF52C019648165DBFA4340,0101000020110F000082A3F6FFE3F25FC11F1CAA4D328A5241,376122,2017,201718041237.0,0411,2017-06-14,18:54:00,B,M,53,back,N,N,N,5700 BLOCK Chestnut St,0,2673268.2987228,238254.72518614,18,0,1,0,39.95982045,-75.23555794
0101000020E6100000C72E0FA1E3CE52C0E33CF779E7FA4340,0101000020110F0000288055E392F25FC1BE4737B03F8A5241,376123,2017,201718057219.0,0411,2017-08-17,23:15:00,B,M,21,multi,N,N,N,5500 BLOCK LUDLOW ST,0,2674081.16684772,238412.23799448,18,0,1,0,39.9601891,-75.23264338
0101000020E6100000C3B4D2186BCE52C03A65453FE0FA4340,0101000020110F00007B66E926C6F15FC15FB794AD378A5241,376124,2017,201718052783.0,0411,2017-07-30,01:15:00,B,M,30,thigh,N,N,N,5200 BLOCK Market St,0,2676144.88778588,238390.7652684,18,0,1,0,39.95996848,-75.22528668
0101000020E610000052041F206BCF52C0FCB4617F1FFB4340,0101000020110F0000A98ECC0A79F35FC1F2283CC37D8A5241,376125,2017,201718080882.0,0411,2017-11-28,20:56:00,B,M,37,leg,N,N,N,6000 BLOCK Market St,0,2671746.12033673,238968.80446665,18,0,1,0,39.96189873,-75.24091342
0101000020E6100000D8646C6C1FCF52C0B5B99CD864FC4340,0101000020110F0000DAA96E74F8F25FC18293CC4BE68B5241,376126,2017,201719000938.0,0111,2017-01-04,18:55:00,B,M,29,neck,N,N,N,5800 BLOCK Thompson St,0,2672937.85909498,242621.07209648,19,0,1,1,39.97182758,-75.23629294
0101000020E6100000766C25F05ECF52C00CF1404B74FB4340,0101000020110F00005425355764F35FC1CB1E6BB9DB8A5241,376127,2017,201719002587.0,0300,2017-01-10,22:34:00,B,M,42,buttocks,N,N,N,100 BLOCK N 60th St,0,2671927.76465847,239917.03255706,19,0,1,0,39.96448651,-75.24016956
0101000020E6100000E56D5B4A8CCE52C0EA61054BB7FD4340,0101000020110F0000B314D488FEF15FC16C9766665D8D5241,376128,2017,201719003855.0,0411,2017-01-14,10:00:00,B,M,25,hip,N,N,N,1700 BLOCK N 53rd St,0,2675346.33524914,246453.81836797,19,0,1,0,39.98215616,-75.22731265
0101000020E6100000EB01149F52CE52C03710FDA04FFA4340,0101000020110F0000F2D8E9939CF15FC184C4F97097895241,376129,2017,201718052998.0,0300,2017-07-31,01:40:00,B,M,17,elbow,N,N,N,5100 BLOCK Locust St,0,2676609.47183047,236795.67265806,18,0,1,0,39.95555508,-75.22379281
0101000020E610000059CCBEE1B4CE52C07F068A0EB7FB4340,0101000020110F00004D9BA57B43F25FC10F36ABB4258B5241,376130,2017,201719033719.0,0411,2017-04-23,06:45:00,B,M,22,multi,N,N,N,300 BLOCK N  55th St,0,2674814.82482922,240741.7802514,19,0,1,0,39.96652395,-75.22979015
0101000020E6100000D01F3FC0BFCE52C02677F1E106FC4340,0101000020110F0000365C01F255F25FC15C045B2A7E8B5241,376131,2017,201719004196.0,0411,2017-01-15,12:40:00,B,M,21,neck,N,N,N,5500 BLOCK Wyalusing Ave,0,2674603.63660331,241623.53636189,19,0,1,0,39.96896004,-75.23045355
